UserIndex,UserID,CreatedAt,UserName,ScreenName,FollowersCount,FriendsCount,Followers,Friends
12876,12876,2019-08-14 20:15:28,Edd Wilder-James,edd,11714,1605,[],[]
823825,823825,2019-08-14 19:05:36,(▀̿Ĺ̯▀̿ ̿),MitchWagner,6706,1328,[],[]
1810191,1810191,2019-08-15 16:15:47,Billy D. Aldea-Martinez,aldeamartinez,41052,3688,[],[]
4079431,4079431,2019-08-14 19:02:33,Alex,bara,643,633,[],[]
4579901,4579901,2019-08-14 19:11:19,Sam Charrington,samcharrington,14544,2233,[],[]
5058241,5058241,2019-08-14 19:46:01,martin bravo,brvmrtn,731,438,[],[]
5654932,5654932,2019-08-14 19:50:02,Rich Tehrani,rtehrani,23908,25412,[],[]
5657392,5657392,2019-08-14 19:01:37,TK Keanini,tkeanini,1433,987,[],[]
6035812,6035812,2019-08-15 17:01:50,resident hypertext crank,enkiv2,1359,3475,[],[]
6742412,6742412,2019-08-14 19:16:48,Jenny Beth Martin,jennybethm,68267,18802,[],[]
6816822,6816822,2019-08-14 18:10:47,24-7 Intouch,247intouch,3117,1270,[],[]
7074132,7074132,2019-08-14 19:02:22,DianaSez,dianalward,9657,10352,[],[]
7767542,7767542,2019-08-15 16:14:45,ernie yacub,ernieyacub,1067,1638,[],[]
7977372,7977372,2019-08-14 19:16:52,Chris Marek,goldenicon,129,402,[],[]
8062702,8062702,2019-08-15 17:00:03,Garry Jenkin,grjenkin,6996,7596,[],[]
8147452,8147452,2019-08-14 20:07:56,ricardo Hartley,ametodico,814,414,[],[]
8190972,8190972,2019-08-15 17:06:57,pete,yespete_,283,772,[],[]
8241412,8241412,2019-08-14 17:45:01,Dave Huff,PunaDave,1033,479,[],[]
8345382,8345382,2019-08-15 17:30:47,MarcioMILK,marciomilk,489,323,[],[]
8960202,8960202,2019-08-14 20:05:07,clifflampe,clifflampe,3894,706,[],[]
9305482,9305482,2019-08-15 18:16:16,Ricardo Sueiras,094459,1452,635,[],[]
10390422,10390422,2019-08-14 20:17:54,thakur_atul,thakur_atul,79,64,[],[]
10470682,10470682,2019-08-14 18:07:03,Nubby Ninja ♿ ☠,nubby_ninja,992,1677,[],[]
